Title,Location,Price,Area
Apartment Sparrenweg 19,                        1091 HN Amsterdam (Oosterparkbuurt)        ,"                    €1,500 per month                ",70 m²
Apartment Nieuw Herlaer,                        1083 BB Amsterdam (Buitenveldert-Oost)        ,"                    €1,950 per month                ",123 m²
Apartment Heer Halewijnstraat 7 H,                        1055 SP Amsterdam (Erasmuspark)        ,"                    €1,650 per month                ",50 m²
Apartment Jan Olphert Vaillantlaan 95 B,                        1086 XZ Amsterdam (IJburg West)        ,"                    €1,500 per month                ",56 m²
Apartment Amerbos,                        1025 ZS Amsterdam (Buikslotermeer)        ,"                    €1,600 per month                ",80 m²
Apartment Sassenheimstraat 4 1,                        1059 BG Amsterdam (Hoofddorppleinbuurt)        ,"                    €1,400 per month                ",55 m²
Apartment Eerste Oosterparkstraat 168 C,                        1091 HJ Amsterdam (Oosterparkbuurt)        ,"                    €1,695 per month                ",79 m²
Apartment Weteringschans 41 E,                        1017 RW Amsterdam (De Weteringschans)        ,"                    €3,500 per month                ",136 m²
Apartment Cornelis Vermuydenstraat,                        1018 RN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                    €2,995 per month                ",100 m²
Apartment Kinkerstraat 56 B,                        1053 DZ Amsterdam (Da Costabuurt)        ,"                    €1,500 per month                ",40 m²
Apartment Nes,                        1012 KE Amsterdam (Burgwallen-Oude Zijde)        ,"                    €2,750 per month                ",120 m²
Apartment Bloemstraat,                        1016 LK Amsterdam (Jordaan)        ,"                    €1,750 per month                ",60 m²
Studio IJdoornlaan,                        1034 BM Amsterdam (Banne Buiksloot)        ,                    €995 per month                ,37 m²
Apartment Savelsbos,                        1025 BE Amsterdam (Buikslotermeer)        ,"                    €1,550 per month                ",80 m²
Apartment Nieuwe Jonkerstraat,                        1011 CM Amsterdam (Nieuwmarkt/Lastage)        ,"                    €1,850 per month                ",65 m²
Apartment Raoul Wallenbergstraat,"                        1102 AX Amsterdam (Bijlmer Centrum (D,F,H))        ","                    €1,595 per month                ",97 m²
Apartment H. Cleyndertweg,                        1025 EB Amsterdam (Buikslotermeer)        ,"                    €1,500 per month                ",110 m²
Apartment Olympiakade 26 I,                        1076 XS Amsterdam (Stadionbuurt)        ,"                    €1,650 per month                ",42 m²
Apartment Wigbolt Ripperdastraat 48,                        1067 EH Amsterdam (Geuzenveld)        ,"                    €1,800 per month                ",93 m²
Apartment Professor J.H. Gunningstraat,                        1068 MS Amsterdam (Osdorp-Oost)        ,"                    €1,925 per month                ",74 m²
Apartment Ank van der Moerstraat 31 B,                        1065 LH Amsterdam (Slotervaart Zuid)        ,                    €995 per month                ,30 m²
Apartment Hogeweg 25 I,                        1098 BW Amsterdam (Middenmeer)        ,"                    €1,250 per month                ",50 m²
Apartment Sarphatistraat 60 F,                        1018 GP Amsterdam (Weesperbuurt/Plantage)        ,"                    €2,050 per month                ",68 m²
Apartment Oudezijds Voorburgwal 111 C,                        1012 EN Amsterdam (Burgwallen-Oude Zijde)        ,"                    €1,850 per month                ",72 m²
Apartment Achtergracht 5 B,                        1017 WL Amsterdam (De Weteringschans)        ,"                    €2,300 per month                ",72 m²
Apartment Amsteldijk 6 I,                        1074 HP Amsterdam (Oude Pijp)        ,"                    €2,250 per month                ",85 m²
Apartment Kwakersstraat 15,                        1053 WC Amsterdam (Kinkerbuurt)        ,"                    €2,150 per month                ",76 m²
Apartment Albert Cuypstraat 132 4,                        1073 BJ Amsterdam (Oude Pijp)        ,"                    €1,395 per month                ",28 m²
Apartment Westerdok 358 PP,                        1013 BH Amsterdam (Haarlemmerbuurt)        ,"                    €3,850 per month                ",148 m²
Apartment Tweede Weteringdwarsstraat,                        1017 SV Amsterdam (De Weteringschans)        ,"                    €2,500 per month                ",90 m²
